Left,Right
496,102
169,93
1226,96
1208,5
607,108
677,124
1405,39
864,19
1190,48
436,26
333,3
1214,84
1093,36
312,29
696,137
870,7
204,99
1563,116
535,57
878,77
1169,135
977,56
671,110
379,82
448,107
1087,112
794,86
748,72
236,14
688,92
891,27
1184,136
1388,99
1429,148
1128,76
846,144
831,29
1480,49
584,133
1565,91
1197,93
644,45
727,89
803,99
1583,76
1371,113
626,24
836,113
187,133
485,34
576,110
1353,60
988,12
1226,114
1122,40
549,68
960,149
319,142
260,74
848,28
314,32
677,105
1615,36
758,143
1435,21
482,36
867,14
1106,65
285,84
283,65
1471,114
697,45
491,134
890,123
1481,9
213,41
1011,107
1160,14
809,111
791,64
343,19
779,85
1160,43
643,8
1400,124
620,81
825,110
1587,21
549,135
559,88
266,60
512,71
1510,147
1421,20
1172,142
886,140
1342,119
249,114
525,28
434,94
1530,15
461,83
229,68
1327,97
573,50
597,127
196,124
1373,28
1379,62
699,57
377,122
770,111
484,89
881,19
578,80
1301,131
1208,18
382,83
361,12
1452,79
513,68
920,116
1452,32
406,148
986,72
201,99
1221,32
1261,110
1491,22
271,32
1534,107
1617,39
1584,113
298,69
1353,139
319,36
1211,73
1359,32
453,37
696,122
565,91
1333,6
504,96
1404,31
595,9
1505,102
816,6
358,69
530,94
606,38
488,17
223,100
307,124
753,107
1600,53
1440,100
1246,80
560,70
594,61
839,34
1618,42
1331,66
500,101
1582,51
332,119
330,121
877,101
1248,144
1203,111
1098,29
1294,126
1040,21
226,113
933,53
902,147
915,130
448,69
814,134
1552,4
849,2
420,43
543,128
1569,116
814,119
521,69
330,101
1503,35
155,20
469,65
755,77
375,147
509,133
1638,98
1566,127
1038,8
456,15
810,63
404,7
193,39
1233,110
1306,60
411,52
623,125
624,41
1000,142
1461,126
1111,109
407,31
424,77
569,103
571,4
832,138
1480,135
967,86
172,144
1019,27
1434,130
794,53
1028,133
246,75
1170,83
391,101
259,76
388,33
852,96
1087,54
1601,130
1492,124
573,15
1594,106
1226,148
1372,97
1181,82
646,147
458,144
1445,120
1515,84
171,4
372,73
980,106
1039,81
649,121
620,35
429,6
720,62
650,69
1211,16
542,103
1369,79
1362,27
694,43
747,101
942,134
346,119
1082,92
1083,132
1503,84
1432,73
539,53
1086,67
451,46
886,16
547,129
302,127
1197,149
785,92
504,28
737,120
792,145
690,12
500,81
1613,122
1614,103
1335,143
1274,116
637,38
797,49
1551,103
1527,45
553,54
1344,107
1068,72
485,58
1587,22
372,60
418,93
418,47
1049,63
1521,69
582,8
239,141
1155,111
572,114
1454,93
679,146
407,58
519,134
707,34
1357,143
1179,135
1294,65
1408,109
302,128
974,149
1380,118
879,34
1019,95
423,118
431,42
323,145
269,99
1534,134
1387,47
1192,39
1318,24
806,62
638,125
1311,3
1291,43
1014,50
314,62
1493,142
1120,132
167,107
345,136
1637,24
1260,146
1107,58
1457,138
171,45
799,18
950,10
1147,62
1137,146
1298,101
1495,7
232,139
683,57
1643,108
694,33
242,113
1387,146
467,124
1322,112
535,124
1114,47
1289,80
511,127
151,52
777,36
320,103
379,131
259,20
632,38
1430,91
1556,97
961,127
1310,98
571,92
344,63
1238,1
584,84
1491,76
839,51
1221,114
901,1
918,110
1496,39
157,48
1542,95
538,112
778,122
1123,128
1424,14
881,149
954,30
777,109
1418,121
353,142
995,32
211,78
873,78
1048,149
790,115
187,83
212,47
749,84
434,112
186,52
456,88
1525,98
385,3
260,129
368,74
487,70
333,94
1103,142
175,111
340,123
1555,133
910,109
1124,13
165,141
1575,65
1126,143
187,25
686,104
1173,36
835,14
1450,96
385,146
1576,97
201,26
1159,39
1097,118
227,56
252,41
394,83
874,139
1458,72
479,80
556,16
737,142
1255,75
1467,145
669,120
1203,16
1567,121
453,135
726,91
370,126
889,61
1511,104
954,71
1252,145
1497,85
1408,12
1079,89
172,127
1378,33
889,82
1372,64
1275,141
1114,118
406,116
656,124
1559,112
1410,136
540,34
392,31
1164,123
1634,56
1125,61
1045,89
895,98
248,90
1436,1
1014,77
1513,97
430,92
777,107
1579,136
1599,72
433,4
1552,97
604,113
778,23
355,113
908,73
628,5
1467,35
1215,19
825,7
736,132
1126,129
740,114
344,11
960,141
964,12
424,118
1429,10
1057,74
1332,15
731,55
1310,149
162,38
1022,128
241,53
451,96
865,47
796,23
641,95
1225,141
1185,60
751,73
1647,101
1056,148
1144,3
1277,125
1356,71
370,19
222,20
616,25
506,108
1371,93
427,95
261,26
507,85
646,18
447,29
179,59
1149,118
1306,11
1240,88
1390,61
464,96
637,96
1024,43
397,91
363,114
1146,13
287,99
575,52
1151,23
894,82
1377,38
197,119
1007,105
316,148
1457,70
302,10
341,133
550,107
594,142
639,31
589,119
797,105
857,58
929,49
1403,55
595,27
845,145
216,93
1077,16
491,64
237,80
594,143
1233,79
441,136
1501,26
775,146
617,146
1250,80
1005,93
213,5
1170,136
453,90
1282,114
799,146
1273,41
471,11
1493,104
301,91
264,13
246,73
1378,32
231,79
1611,13
782,107
536,120
718,56
1404,10
262,60
171,69
384,96
586,113
1086,65
680,109
759,62
1590,104
983,27
180,2
524,110
1306,5
1232,45
250,146
1149,17
1519,124
680,73
706,118
1434,97
1484,115
771,148
739,143
