Left,Right
84,117
144,67
89,108
86,52
48,34
76,69
73,85
79,134
140,94
66,9
121,93
133,28
4,38
119,53
82,56
32,39
118,127
50,144
107,127
51,139
125,145
7,138
19,69
29,100
117,136
27,50
54,91
11,55
102,77
84,106
51,86
64,67
146,130
95,57
105,144
99,146
125,68
58,32
126,98
6,94
46,17
10,26
68,141
125,56
31,133
60,19
88,136
139,2
88,52
132,139
43,31
123,87
56,74
1,123
86,38
115,76
6,125
108,105
62,69
41,82
94,85
97,26
31,28
58,137
51,85
15,122
86,17
25,126
95,129
17,115
100,74
49,54
6,63
17,25
28,108
45,79
78,2
135,88
24,40
94,58
91,95
90,50
25,13
64,130
83,65
72,35
141,35
56,76
12,115
65,30
78,119
64,74
107,136
94,149
13,123
10,139
45,36
122,88
139,129
93,35
132,137
38,55
134,136
21,140
102,123
12,134
128,113
69,47
65,1
73,7
45,93
61,101
43,75
88,5
17,106
52,5
68,5
132,136
25,21
96,45
130,139
143,78
36,122
54,62
30,115
45,52
7,49
98,56
88,144
14,116
29,114
25,1
25,145
4,20
36,18
112,146
37,13
123,112
32,23
19,113
65,89
133,135
76,119
78,73
100,23
98,35
9,95
100,121
39,36
133,15
45,98
62,128
85,100
115,128
43,16
121,74
66,111
104,130
8,69
82,7
36,52
94,67
48,50
149,30
24,17
66,130
126,5
86,130
20,119
8,40
89,73
134,34
78,51
141,91
51,37
68,64
50,9
101,113
53,105
10,30
48,145
134,116
103,112
89,3
21,137
141,66
41,140
20,112
84,21
43,42
139,94
25,54
52,60
135,133
15,52
76,104
20,17
90,86
106,51
29,10
110,125
87,69
53,43
137,139
132,149
39,27
102,128
145,144
38,73
89,115
20,11
90,135
118,75
81,132
145,118
4,13
51,116
39,59
22,94
6,67
20,18
26,120
33,30
23,29
65,5
113,56
25,140
75,133
19,42
72,10
5,31
135,46
84,43
100,4
47,123
149,56
57,14
110,9
145,131
135,35
136,109
41,17
112,109
12,63
52,82
139,85
129,136
128,62
136,102
40,110
140,67
93,78
136,24
57,81
87,124
20,30
102,3
42,56
81,112
34,81
106,39
1,32
35,108
104,14
134,56
122,42
137,6
45,61
142,90
135,31
59,11
30,89
114,11
105,132
46,75
13,141
59,141
98,55
125,134
36,47
22,131
22,126
88,73
66,43
87,109
64,91
137,90
118,69
149,116
53,127
96,31
109,114
143,145
129,55
124,14
89,40
148,21
24,96
73,146
45,96
72,106
132,127
114,110
78,54
11,14
136,18
126,125
52,1
75,11
64,136
45,46
81,9
76,138
124,102
28,47
114,98
9,73
15,21
129,144
53,37
44,59
114,111
39,2
68,148
141,65
46,137
62,60
116,90
72,142
133,92
98,140
85,48
44,118
7,112
119,5
6,8
16,67
89,119
147,77
119,114
78,45
65,76
73,91
88,38
82,21
133,10
20,23
86,128
42,58
73,118
88,75
33,48
60,1
102,13
24,71
36,76
65,36
102,109
101,40
1,8
149,21
94,10
70,16
