Left,Right
135,793
67,577
48,775
30,892
43,533
60,1001
1,758
11,802
140,541
35,419
63,735
122,622
118,642
78,1584
94,1584
32,1197
145,1100
45,1497
45,1435
65,809
101,1543
81,1415
25,1077
89,1394
20,734
105,1302
16,1196
6,822
37,495
134,557
127,502
129,1114
38,1239
13,960
30,516
92,1098
91,169
86,1233
24,1197
143,712
67,966
124,917
41,1474
87,1186
11,272
3,199
78,332
104,1054
88,397
64,1130
111,192
105,513
108,847
108,1622
119,1079
31,549
60,435
21,638
9,225
146,446
92,1385
55,1372
65,430
12,473
144,483
28,1259
93,881
25,973
119,1072
16,230
90,460
32,1367
45,835
45,965
133,1173
12,152
77,373
76,697
101,1094
4,221
68,1587
2,1319
12,457
96,660
86,1018
77,836
143,1644
16,1343
102,501
103,197
16,613
75,1185
26,779
8,1333
40,758
21,1641
42,440
8,1624
79,722
32,442
45,838
94,1531
78,453
89,1246
114,1349
7,1585
31,1071
56,566
70,1105
6,792
143,1628
131,157
99,238
130,927
111,1092
131,1203
62,1045
17,1431
106,460
46,1632
39,315
69,331
128,256
27,766
82,823
29,813
108,802
128,1418
80,1042
135,1037
15,1147
5,963
3,1166
141,1487
87,234
70,462
12,780
6,1588
72,717
133,755
53,518
12,1010
41,823
33,1091
53,1010
48,793
78,1354
35,710
31,935
43,513
31,412
57,615
134,1328
146,1561
49,993
16,345
18,1129
85,1014
33,1626
51,1604
40,754
41,508
61,1490
119,1155
74,1158
69,272
1,634
149,990
33,466
88,933
74,577
42,973
80,439
47,717
107,193
144,1018
148,312
56,1241
113,1143
39,1557
65,468
92,900
137,1332
36,1284
34,1224
108,970
120,1421
127,354
99,751
75,1179
39,210
143,1282
131,1643
53,440
113,1285
107,919
77,1412
98,533
46,220
124,595
55,796
77,956
79,1432
31,808
47,838
143,1492
114,1487
14,1190
23,1521
84,1193
100,1051
134,1252
35,221
107,1452
4,1348
55,217
30,304
29,279
15,1266
59,596
137,607
74,1456
142,810
137,1227
1,555
63,1154
33,312
29,524
107,971
47,1411
82,292
100,347
41,197
19,1029
32,766
143,1628
63,412
121,970
118,1441
10,913
11,1621
48,1462
128,1223
144,1485
22,159
22,962
119,367
63,1164
119,863
24,1078
62,1065
59,1520
5,462
87,240
24,575
124,1401
65,1130
105,704
125,505
39,1362
128,1581
44,1403
145,450
76,1134
32,589
23,1123
45,624
125,568
133,1560
25,863
82,442
51,1216
104,1340
123,850
52,857
72,228
106,1232
105,888
32,940
45,1338
136,1638
6,359
99,881
126,214
138,718
1,1024
147,464
19,269
49,201
66,697
94,278
70,392
8,950
133,1058
141,1294
22,475
29,498
84,218
113,1627
60,546
90,1397
141,736
34,1181
137,212
60,1133
28,576
91,1299
27,395
84,277
104,1180
142,738
137,328
133,392
19,483
134,1109
4,1335
70,864
136,878
91,1077
34,1519
103,1065
41,534
12,763
113,1117
78,1271
66,531
86,930
61,1287
6,525
86,477
79,357
25,749
25,1524
47,1265
86,853
10,1406
48,772
13,1269
51,1452
95,1549
128,869
38,1234
42,1100
41,307
47,674
63,1213
75,958
10,705
73,253
76,1153
107,495
95,225
140,1315
9,866
42,399
97,420
22,1381
18,513
70,1295
143,376
105,1047
